COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
MBC/DC,Male,150.5,126.25,134.75,411.5,8B1F345ABE3309FF0C5FA39AA580CC7D,17EBEA05E8FF1E4465D965E617E8B7D8
MBC/DC,Male,124.5,101.75,128.75,355,328D6C92ABE8A46150F0C7BA566A9100,241F87FB8D2D25A496973E72323B6E8D
MBC/DC,Male,154,121.25,139,414.25,F0822BA8EEAD702AEFF878592D7F1133,5AF44AC937972232EFB26A4178294470
BC,Female,91,69,76,236,6384E6A7314A2E1692E62893786380B4,CF05A68EAA5428F0716645A406347ECC
BC,Male,95.5,107.25,97.25,300,17675C61729690D4FD0549CF301DCA9B,8DF7152EEE906A493DE7C1B6BBDF98F2
BC,Female,95.5,62,52.25,209.75,BAC383299C0C0180C9D4F7C898A2950F,03BDD6C9025894C33BDB54D81E4D96FF
SC,Female,98,74.75,70.75,243.5,A1569C37C0252B17D1BC4254E0989E4D,193696357819E698C7F49524014C975B
MBC/DC,Male,125,112,91,328,A90B40E3C6E027CA7F6F71BB849240FF,698084D632FFEA817D61922B6A303C36
SC,Male,94.5,84.25,73.75,252.5,844998F067DE91F7339019AF8B9E6AE7,59FAA497D7DD742851850C5CD95D8F4B
BC,Female,135.75,123.75,111.75,371.25,5A79DACECBB6FC0AC56F46D502239C36,1D853FDFB690BF13A0AB2E6A34F48EC1
SC,Female,98.75,77.5,80.25,256.5,555506BE4F63E86ED5298C81C4AAEE61,F48DB16B6B024CC7081F3C6AFED022F6
MBC/DC,Female,81.5,81.5,59.75,222.75,4204F3E0189112CBA83DF7EAF4A38AAC,4AAD9D1CF0E0484D56526E6D7ACA009B
SC,Female,122.5,84.25,82.25,289,A72B68CF66CF8C4F2E428E96F0653D77,0E611F5068FE61F20BA9FA557BFD6AAE
BC,Female,102,72.75,76,250.75,E7CE38CF783A418B6A8262AC740B1BAD,33414D88B2F80F00F16E603B0EE84D99
BC,FEMALE,66.25,58.75,74,199,4FC24767FB84BE3E411A7D880EB58139,AE7C14C19B2E4D18671DE62DF54E2731
MBC/DC,Female,147.25,118.5,123.5,389.25,772EE61983598878A6976726561E3C66,47B40F9E5FB76A00E31CE49FC8A431D2
MBC/DC,Female,122.75,103.25,106.75,332.75,556DD15B612AE8171FBD0F33984E6CE4,C33C24F6A02BFF911628935DAD54C578
MBC/DC,Female,115.75,81.5,88.25,285.5,B17F4598C53FD91A1797A6988A972A82,CBCFA9307D1F1669B744DECF9B145E17
MBC/DC,Female,116.5,101.75,86.5,304.75,32AA5C32B934A836E37EB144762F0B95,A12DDD2116C3827C74327E3F50546E54
SC,Female,95.75,74.25,67.75,237.75,21697E2B569FCC08BFF950F1CEE76218,7926633857C323A8F91F61881ADAEC34
MBC/DC,Male,132,97.5,102.5,332,2527A4AAD212771E11C9E2AA64EAFFCD,C0E88203FA38A63E73EE34D2EE14C521
MBC/DC,Female,86.5,59.5,79.75,225.75,1CF9ED1C512418254D1553C4BB335D39,70BCB64D950C1EF26971D9CA16D3648B
MBC/DC,Female,103.75,91.5,104.5,299.75,6F0AE99114201E2169833596ADC9AE2E,97D6B878E176C243E9D9C3B508CB9185
MBC/DC,Female,128,104.75,87.75,320.5,71C11691A146D31836541E54B9CCC542,C4937501BF827CE06122B494B2FC6EA2
MBC/DC,Male,120.25,99.25,88,307.5,AE7B696519EAD005A1562C78AA002819,9649644534871EFAFD7267258D20B23D
MBC/DC,Female,141.75,138,136.25,416,EEB3383444FB30F50B9B79E02CF401B2,148BDAC80E08F59A9137BC2D7CA75461
MBC/DC,Male,141.75,115.5,129.5,386.75,146567327EF31B31C34D2491F54E81BB,D90A13555A2EBBC0E9FB5499FCC36C89
BC,Male,141,133.25,115.75,390,CEFB9474EDC6338336B0915E0DCCED6C,CABC5019BDCD3A8443C742D88549FD5C
BC,Male,106.25,70.5,89,265.75,E42AA2D7420021E99459EF54BA1BDF1E,0565EB348FAFDE8882C9512D523A9659
MBC/DC,MALE,143.25,147.75,141,432,FE31D0A53736DA3C9D1F8B75B6974998,ECA46E60F209D2629494554F38667802
BC,Female,129,127.75,113.25,370,A43C342A17BB669689A5921E6450A437,16438E45AF0C736345F0A06F316C7456
BCM,Male,131,115.25,112.5,358.75,A666ACDF71443343BCC6E96DE0982EE1,8D5E0399493ED8D4FDCA09226E47AEFF
MBC/DC,Male,85.5,91.5,79.25,256.25,A488C0A19364AC5DF6D586761D5E6794,EE4E6ECBBB43D8AAC596FF1DB3B76C8D
SC,Male,,53,70.25,123.25,178C77A5A90D5587C89C4F1A35E0EB6D,00D1FADF22D3F5C23C6F35EC54A6D7C2
MBC/DC,Female,155,120.25,137,412.25,7C799F9EE3647241865B3F922B80E1F6,5A88BE2216427EFB283D8A9085A66227
SC,Female,94.25,87,99.25,280.5,67684495B2FC516F37E34E76B45AD582,7B8F4EFD9B7F1F1F4E2771290B91ABA0
BC,Female,129.25,119.5,112.75,361.5,F25EA3EB88FB4ADB1168188D3CAF2C68,3954FF964CC7E81D0499148E609B93D1
BC,MALE,140.75,116.5,101.75,359,4687F7BF1F35121DB5BFB9DEFEF3E024,56B50BCCF9B89E6E2DFB37A9CCD4A934
SC,Male,137.5,134.5,112.5,384.5,A50303B9463416AF2A27562395030713,6870DC6F71250E9F7723EBA0F9528DF5
MBC/DC,Male,140.75,118.25,113.25,372.25,F19EF1690AEB43302188958CBCA193FD,75A4337A1646E8B81EDA7A6F8504B515
MBC/DC,Male,142.5,105,101.75,349.25,6FDD3B7B180729B8775EAC53700AEF76,1F1E01A4067D6992A7A039DF4314B786
MBC/DC,Male,125.25,75.5,85.75,286.5,C03BB40205658475C46D3392BED62B31,EFB6A1AEC95BADEE67F0099D75110006
BC,Female,145.5,114.75,117.5,377.75,DC7E10D8F496FD1F384CCBD1756AE167,3FBED4F48DA80F46076C1530BF551FBE
