COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
MBC/DC,Female,155,130.5,131.75,417.25,7AA0574977163A4C580DF82B3A2256EC,D52F664B57C1EE2F3E8E3806D46138DA
MBC/DC,Female,119,109,115.25,343.25,61B8E2FD3D09C99896F570E37A941F41,35A42D5CB523FBFB2665A4326B168B4C
BC,Male,122.25,117,115.75,355,D9137A077DB52B9DCFB95AE2C09AAB79,D9D810FB4792D3D7D8BBFB8FD82EA291
BC,Female,149.75,144,125.75,419.5,5A82258B8F7CEB06B23E828707E62529,6759F9402E03BC76AE6FA0C589A0A6EF
BC,Female,141.75,119.75,124.75,386.25,402B776422FDF2C96DD848B46A162480,282B6C13D21C024AC41D96880CE9D27B
SC,Female,85,82,75.25,242.25,018039DC234A78F6B4FC231E8DE3D874,46BB45CE8FB0CBE6F80C6E7F45D51A11
SC,FEMALE,131,117.5,120.25,368.75,790DFD95FE7EE070F76FA0FC63E6BCA3,C4FF7C2C041D3D641B43E9630A052A5F
BC,Female,116.75,116.75,97.5,331,469071FBD32CCC6F99E0CABF612DDCE6,65391A9F9A90B3211CB1F93E0A56E993
BC,Female,127,132.5,140.25,399.75,FEF24001C70219A2A9B952DF7A91899F,42E2F1AEB0464EF8B8AC4CF9EB8E65FD
BC,Male,121,121.25,114,356.25,4370350F65533BC38B7F0E17CE6F1EF7,5EC6995D3BC08C5E4B51B5595A4E1C6B
BCM,Female,92.5,114.5,107,314,F1C4912BDBD182F21139EBCC3DB560DA,ED702ECA5FB02F2933A037405694F393
BCM,FEMALE,159.75,117.5,121.75,399,53DAA7BDF64AD60EE65F44A6F6ECC466,5CE534B930E70A960EFF374ABFC5C72C
BC,FEMALE,158,133.5,143.5,435,46831860A0D945207D412F32517F060C,B84D571C4D7B04202A6447B257D1E369
MBC/DC,Female,143.25,129.5,142.25,415,273758BBC369C18D50DBBFD08FE5CBA0,D0A63D883FB3EBF99EAEE7F314F86B4B
BC,Female,114.25,90.75,93,298,01E9FB15DAFCA2C3BB4039782C029C06,C2A79555FA31230EE4FCC113C55A2222
BCM,Male,133.5,135,123.5,392,A86FB00DADFC9713489F3F26A6608CC0,F4B620DEDD2DDA5EA51BFDC273509EA3
BC,Male,128.25,138,126.5,392.75,5FBFDF7D1FEBC11A070C013D74B8957A,96E12FB0DB343C2214C2CD21BD2D8A5A
BC,Male,116.5,110.5,110.25,337.25,439063DAD07EDCA25EA83B58F61E6F14,C13BE1ED6587DB8B88A815402A8F8904
BC,Female,124.5,107.5,117.5,349.5,3DEC698183E5A0BCD85B06042029733C,B163831A1E972E15DDEB087C8CE48D5F
OTHERS,FEMALE,114.75,92.25,95.25,302.25,9A4A7840D618F561F54ACAEBD49520F3,B2B4758F514424E1C2CD3E4023F21EDE
SC,Male,109,81.75,75.25,266,39DA243E6186D03FE2246BE0F719B9E9,FE73373AF2287C5D0FEDE2F9145CAD2E
BC,Male,148.75,117,117.25,383,77EC82FC53CE383DBD17E1EDD8807AD5,78FF9BCDBA23C34743E325BFC4D20F73
BC,Female,116,125.25,128,369.25,7FC44E625B56FB035AAF0F9351E064AD,07481BD28BBE6616117D42DA105CF92D
BC,Female,112,109.25,77,298.25,9FED3243DEBA77084E500A159F728B3C,67552D52C0E9B80AF38D7BB210C6C2F3
BC,Male,137.75,122.75,109.75,370.25,1382583DC40748E47858EFFDDDCB57C2,174A84418A341977EDDDC3974CAED539
BC,Male,161.25,126.25,127.5,415,E6DBA16623A6D300B1FC89E862C0CEE6,67A06D4197D6AF10EF42AF7392CE06A9
BCM,Female,141.25,140.5,119.25,401,520A39007DEA9797E3E7D38DF1A5A363,95AE6BAD64F3FD56DC71C88B1EA20678
BC,MALE,101.75,92.75,92.25,286.75,CBB5CC823532C03951B5FBBAAEBBE18C,66EFBA7E52CBC528E46DEC5C021C612B
BC,Male,162.25,137.5,120.5,420.25,F2BCAC54DB5BCF900D89D5D4AFF52140,FB23D9B801C8B85BD951D2C781BE544F
BC,FEMALE,116,118.25,81,315.25,4F4FBDDACB73EFE8A8E702C599773CC4,0090729DF3B4CA749D50ECB6F15A3EAA
BC,FEMALE,151.75,118.5,99.75,370,7DFB953A3305597AABB40A779E9D5675,8E87200397FCF02B9B3FF0738C82696F
BC,Male,134.25,122,117,373.25,4E914B339CEE973BE63F2E970FCF0268,D8307ED981BAFD810EFB882688BCA973
BC,FEMALE,107,102.75,104.5,314.25,E1DC315E0ECCA88D223A5551381A5685,11973FC14A426B57E80700E54FC3A664
BC,Male,125.25,85.25,92.75,303.25,7C987FF7057854629A873A1C9B5B8FA3,064EF46C62152035023228C2A625AF69
BC,Male,131.25,110.5,103.75,345.5,7099C6141F391BC356A19983D91D6BBA,38805D3D9C75413C529292770E2E28B0
SCA,Male,137.25,136,116,389.25,723677BC083F89F3E3322EE9E79F4B0A,05B23EF9E45B9681E59AD976F3F49BBD
MBC/DC,Male,93.5,87.25,63.5,244.25,D7A5AB6A17B2973B66C068D89DC1287C,60E9DECF3A76F314C3E8DEC7DAEB37A9
BC,Male,98.5,117.5,96.25,312.25,166AADB7ACA035715C5A05AD246A9B38,73AB99CEAD717737FFD8A9D45687F28C
BC,Female,152,137.25,126.75,416,265AECA539CA6863C1DD0E93D248E812,4BF4EB8E95F9A7CF5A5BA7F6976C7B84
BC,Female,125.75,95.5,108,329.25,BCE2D157CF7AE4EC7E80B964E2409A04,741CF4F4EB3AEB29562DBD20737155C6
BC,Female,162,124.25,131.75,418,031027D05877F35542C06910641A13E1,F58209D0BA83F1157F6FF0D501B37938
SC,FEMALE,139.5,88.75,92.5,320.75,B208BE8D2B52DB7F95C8729A655D718D,16B4725D531C8B3B3FD8BDFF172D082D
MBC/DC,Female,148.5,129.25,124.25,402,90565F0523C66D0E633CF5849956E45A,EB91A57D8750E67538B2358E9370A309
BC,Female,128,112,118.75,358.75,33B90BC65343AD2F8279F1EE67FA62F3,9EC7720801654EE7715F07407C244CC0
MBC/DC,MALE,106.5,92.75,72.25,271.5,1D29C80AC1AE0744F30B3012E924A101,0F19252D2E7258CB2AD293820EB25783
BC,Female,123,95.75,87.5,306.25,F0A5315BA328E7075D25CFEA11FBAF56,2355692708B86E72A1B6844D92FCB4A4
BC,MALE,80.75,49.25,36,166,614F87C1A73CFEC9D576344325D2917E,AB912E271FC1E84088FA953900B6C1D7
MBC/DC,Male,135.25,119,104.5,358.75,01D8532C712116C675AC032342D4192A,B95904D12B5E7D468A75A806399B9523
MBC/DC,Female,123.5,143.25,123.25,390,EA0FB70A80A38F54DFC96B0A3506615A,3B67FA165CACE7A8D9712122E98BBC03
BC,Female,145,117,128,390,CF85ADC938942BEB60493F6A13368D43,CAD6F4F58A4FF1FC3973839C5C855034
MBC/DC,FEMALE,127.75,104.5,97.75,330,0952626609E3B611E137A962ED754D7F,AE1CD26C9F279ECCE6A98D10C2B7A931
SC,Female,122.75,115.25,90,328,36080D5FC6DA386973DA5DA8FFF9ABE5,6320663AF62AD67D088397B9A47CBE4F
SC,Male,130.25,107.75,100,338,37D2C585319B20428A2B0486AE930990,9AE1E3C06594A6138DE405CB41295754
BC,Female,152.5,117.25,112.5,382.25,5BF71BC536D262394AF83504095C4940,304F6548AC38366E3DA1170792743CD9
BC,Female,120.75,137,131.75,389.5,8377A7668B8379B1BFD479C888B63C26,381CFB4E8B1AD445CD31B0C722EDA7DA
BC,Female,82,90.75,97.25,270,8019B09A2D7A9CC5C56C068BC9A5DB5A,F726410342CAE31C87A44A5DCF9260E5
SC,Male,104.25,85.25,97.75,287.25,6A934A3F5CD3C6368834820FE882AB9D,37E9644F154A74CF868665BAEDB1707B
BC,Male,145,120.5,134.75,400.25,084D575FC393CB98641AFA99E1FDA832,4F1FB0146769EB060F21542093AD2B08
MBC/DC,Female,120,87,91.75,298.75,D4FDDA158F8B5EFBAB50CD5AD727A45E,0F3C5BF5E1703A8B85CF26CEA65CDA00
BC,Male,112.75,123.5,89.25,325.5,B726823554685A69B36DF67EE7A853F4,6D106DE9CA516B38DE96DC2EDFC12BF3
SC,Male,152.25,135,124,411.25,E06B13755A8F2EBECAC182401B26480C,F6F8AF89E5C8652007A252ED6A4BD846
BC,Female,152.75,136.75,131.25,420.75,4A19D935BD9E4D395FAC321C3461C695,D0321F7F34E2372DF62490A8AFDA1DB7
BC,MALE,110.5,109.25,97.75,317.5,36CA1C5003F10E99607337364B20E02C,18A5902ADE71539B03AC9F1628F960AA
MBC/DC,Male,87.5,94,86.5,268,A339F3E3B3A77A905FFAE2DE664793CE,F5EAE611A57AB57B88C65B233074993C
SC,Male,147.25,137.5,125.75,410.5,B6F90E142E653CF17FCFE8D177B8E810,5A7158D44A6B10747288B48832646554
BC,Female,110.75,115.5,95.25,321.5,45A79C9D4AC2EF9EB9502963334F724E,91613900CD3B59CCBB5609BE642F5B3C
BC,Male,137.75,127.5,138.25,403.5,1EEFCFCE199B2692B17BC3950671E4D4,BDD698FDEB392821AB7DAEEDEABA08D5
BC,Female,148,158.5,134.75,441.25,98E76047874DD6CC4D0D6896A92EF252,D8E0D3074781350BA5C8554A1618C658
OTHERS,FEMALE,115,84,86.25,285.25,22D8191C92489EB2724045FD47D8C6A5,87589738BD1BACEFD8667F27016F21DC
BC,Female,104.25,92.25,106.75,303.25,B4B31866E7BEA945AA99B83D70A8A2A5,2B980EFC1BD19733DCF47F3F9A537CF0
BC,Female,149.25,144,146.75,440,F9C705072165AAE5340722966BA1F784,816A43274354FE571D5CC279643127B6
BC,Female,103.25,102,113.5,318.75,8A358B883714601085089E5477C11AF6,98B8F956CCA808B7FB9F47A8E2EE1D34
MBC/DC,FEMALE,127.25,95.5,73,295.75,5AE1F35F568441DC7B75D571737BBACE,37269D8172A982CD6F495DBC78189F92
SCA,Female,118.5,118,120,356.5,12AB72075F30CDA7FA9A4B8ED500098B,29F17D4B3BFC23746395584EB04C3754
SC,Male,120.25,126.75,95.25,342.25,AD132BBD102CA6CBA2C9C43234707B18,1F23709559C60574E880064482E2155A
BC,Female,90.75,107.25,74.25,272.25,69837B387DE85FB3ECBEF83B0BCD80D3,FDC377DCA86F13D77A50744A4B4669A6
MBC/DC,Female,150.25,125.25,142.25,417.75,FDEE1999B45A21E41CA66ED300612940,6724CADFA23C55D3A245C102FA2610ED
BC,Female,111.75,88.75,108.25,308.75,83B015F785A5D65E00A63EB29C55C8B5,A75A368D7FDFD0BC16F93D2C92DD932D
SC,Male,96.5,102.75,87.5,286.75,76CF007046C050D1BFF7F69EC686CBCF,C05BEB498498DAD2685BC5AFEA5588AB
BC,Female,146,162.5,136.5,445,62DF0B842B327D751A69696A8AB5D17F,326B259486B0B86BB8CB69EEF1888D0E
BC,MALE,72,56.25,56,184.25,63A6C4092779C8543A51E5B7B945953C,45C3E2B93D4C0C5827BD103CF53D34ED
MBC/DC,Female,135.75,129.5,129.75,395,AA60DEAC5DF41AFEA2ED302114F79C58,5103BE49582F2673352F70A6FF51D566
BC,FEMALE,91,88.75,87.25,267,0AF5679747B7C1D5313F8D8955E5C196,416CCF10504494E631EFD997CC0EB4E8
BC,Female,151.5,141,130.75,423.25,C35BA18998162F868895974B1F768D5C,B05D9E219EC7712081ED7D1A8C4DACF8
BC,Male,146.75,109.5,121.75,378,158BD11F25E706D76B92EC5E75296E02,4E3164DC280D9F5571B67D48765D7747
SC,FEMALE,110,88,86,284,0C250432B9973A05423EDE13B3AA086D,33CEF87D6917009B1C1A18EFEAFFB59F
BC,FEMALE,110,104.75,119.75,334.5,5A18538A56CFA5C3F035BF9D683D0D9E,B529B474998D8FCEC466FE7FDAA465B0
MBC/DC,Male,121,106.75,122.5,350.25,A0EC4978B354B6F7536B0EC2B7587FA6,C8D8EF30532B697A94C146D61B9BF397
SC,MALE,82.75,94.25,101.5,278.5,F7ABB5526E9874AF85998AB4C9899ED5,4123D5036BC288EA7E247A8F6C1C6D67
SC,Female,130.5,94.75,102.25,327.5,54D25171A96586B678D07F2583DD6A39,C1B4622E9752453851F08505DCEA7674
BC,Male,103.5,89.25,89.25,282,8870D09D4A16832DB0D444BC029E0807,C94919E481EDB009434208AD9CF52F0F
BC,Male,138.5,104.75,116,359.25,5928797D44BEA9F2282F898172649161,26469C6B115FA47E6753A2D8EE8C42BA
BC,Female,82.25,77.75,76.75,236.75,B5026AB629D54E916519508EF8FE621F,B388E7BD4BAF8C5F515199DD481B1D62
MBC/DC,FEMALE,153.25,129.25,136.75,419.25,94F6ADAF9A643C70996CFB88ED462A95,0FCFA3428393B81ABC3E9867B59A6751
BC,Female,140.5,128.75,131.75,401,6E47D8B8127A3EE6FDDB18C23C6F6C54,D3E2790693DB62FE264C7E5EBF40B463
BC,Female,146.5,125.75,152.25,424.5,FBAACDC3DF7A1912050719FDAB9BCC8D,B0AE33E4F0A2478FEA455D1AF517F350
MBC/DC,Female,129,107.75,100.5,337.25,FD62D6D25882A30AA565231B6279DFDB,FA4083D426D3D98EDAD937B77CD71D08
BC,Male,138.25,124.5,117.5,380.25,6C271FF44926DFE608ACEF83574BC2FA,35A9FAAE4BD30CC8DFEE3D5DD4C0762D
BC,Male,98.75,,,98.75,01C69BA5DBD4B5D3CA7F52223A7FAC6B,F987FA84183D1015978C9BFE3AEDCACE
BC,Female,118.25,106.25,128.75,353.25,6C7C2721E3AF89C94E311AF6A795E57C,0AE333AF8DEAC7A61033F5A51587009A
SC,Female,103.25,101,117.5,321.75,0F35584782870737686329110A043949,24733883AEDEF439CD0824E1AF899E94
MBC/DC,MALE,156.5,143.25,136,435.75,4CBBA0D5B02905082843D90D21994B5A,462E9D663E1CD302B1D1A0B53D436FE0
SC,Male,157.25,120.75,135.75,413.75,61132F65D49BB2C5EDE31D5892A9EFF6,553843FCEBA483CCCFA48CCD84711E96
SC,Female,150.5,124.25,122.5,397.25,ED0A0D725A3291A162DA4191CC94E38D,58C93BD46D4E31C4EED82825932E75C9
BC,Female,160,149.25,149.75,459,DAF67496DB910F691CE125EB42205E95,415FC1039E5CAF1188687F981549C0DA
BC,Male,159.5,121.25,128.75,409.5,4E0779CC15C51BC3DF8433F663322388,1AB5126620768D11250F2D31D669D216
MBC/DC,Male,139.75,105.25,121,366,64B6A8B761C4ED1F3ADDF01CFF3FF505,B5B4BCCB543475265010BE3FD149A0A3
MBC/DC,FEMALE,151.75,98.25,103,353,837B8BB75D294F0163C5C4B2A7B39A47,4CF7E7A8685054C8B692F5E7FAF8B1ED
BCM,MALE,115.5,103.5,104.25,323.25,D82C46C62443A3AFED1D336713116AEE,48FAEFF803840A87F71350884D46BC6A
BC,Female,137,123.75,109,369.75,1AD202CA73DB1FB0A3F05B33517F257E,3D68AE28730E506C263118E006DCC4AA
BC,MALE,149,142.75,129.75,421.5,D4848A6A021B2F9ED7CC926BA22AB9CB,EB1619179E4B89A3C0AD1D34FAD6635C
MBC/DC,Male,88.5,96.25,78,262.75,538EEAB17F4C0CDBC8B0294DDB3FC0EF,5FF9663848ABE68D15145AA1FEEB0673
MBC/DC,Male,137.5,84.75,72.75,295,33BB637324016280958CE8CEC310B2DA,10A3EADF465E8DCEE766B3C77DFB6943
MBC/DC,Female,117,80,68.25,265.25,00BFF55EA4BCAC24EB55046E424E268C,D5CCDDC29D47E37AC036D04DA0D1DCBF
SC,Female,156.25,124.5,129.5,410.25,D6E70584F194A925B541A9581E2AD3E7,8FB30531A5D70745AA1406C3959D310C
BC,Male,144.75,117,109.75,371.5,766C4D8FB4FC036BE85234B3AAFD7589,22A1FD8825978944A0EA8F05FC24756C
BC,Female,154.75,128,119,401.75,CF6B32720E861FA98BC6CFCC351CAC19,AAAF4F13AF8635ED2E4858B938748ABC
BC,FEMALE,138,123.75,127.25,389,51614DBA07F18CA62035254ED2CACBD2,5A9F5F9800A992DD6794840DA853FBFC
BC,Male,157.25,135.5,125.5,418.25,161AD06461D6E857FC43531B2639A3A5,5E12D9D8CAA5E52462DE2C9DDE575D3F
BC,Male,115.25,85,71,271.25,50EF05493FF2EFD8DF6B4E2BE9D00BD2,BD211A35443928FF85180ABE633400F7
MBC/DC,Male,126.25,89.75,92,308,DF2E0C80A6087D27993699F631AD47BE,4BBB3450266DAC5D03AEC445DD1A5DE1
MBC/DC,MALE,119.5,120.5,118,358,A42BE9C3DEF9AFAED09956CF76312627,A725DFCCCB5183EE99EC1E03369B5626
BC,Male,122.25,116,121.25,359.5,753911425579C49586C879A76A8944FA,CBB81D63C69C695B08E0F78CEC601FFF
BC,Female,38.5,49.75,59.25,147.5,986D3836980D0F7E4A5CAF4217B41E11,91228601763C0A3C16559BC6A942B5E3
SC,Male,108.5,99.75,114,322.25,B9359D3D569AD855E3085D06A70EF7C5,E0BA896DC4F60BFF3EAF93DA2EDB8881
SC,Male,,59.25,59.25,118.5,1E2B9FFD006CABD9A3D57A09F5BACECD,89DE2C9C8D05100A15AE9F405BD0FA2C
BC,Female,134.5,121.75,126,382.25,841FAC864F6B8F86018038A057C29A31,825F338253DA62629158BD465CDEC5D9
MBC/DC,Male,137,99,123.75,359.75,129785AD12FBFEC6D968C604DFD664C0,7408E0B4A238CFC0430FAE302C62D65E
MBC/DC,Female,165.75,145.5,150.25,461.5,CFCE16CEB577CEB0255FC123CC8C033D,B9D9747E18FF2EA361574C4267955634
BC,Female,149,120.5,122.5,392,68488FC17F8B296015F9F2BC4823F27C,D87B304E5EC71BAF676E530DD9DF858A
MBC/DC,Male,84.25,89.5,104.5,278.25,470C923C9308B42966F2BCA672520206,CC5D8C93EB5CCC154454F524AEA2993F
MBC/DC,Male,133.75,104.5,105.5,343.75,A510D5D7C04E7BA079ACEC7F3F707D55,3F1CC1BC7FACEF2B248188A2414144D0
SC,Female,84,73,84.5,241.5,5CE20CE2AEC4B73D4F5587E4F0A0BEC9,B5C507A8FBD23B099394FB83FA18419B
BC,Male,119.5,94.75,99.5,313.75,9276E6E814EF4D5B3F7A6F58ED091DAA,C8ED44B877549A44E42F15228F77AE65
MBC/DC,Female,125,94.25,86,305.25,0B6493DFE34104F158554C972A5791B1,0B5286D66E8856DC67B83D54ABBA8D56
SC,Female,105.75,108.25,110,324,83B35023B7BB08778A3D779B16A828C5,334D414991A8CD6768C7ACC41B2E9DA3
MBC/DC,Female,81.25,80.75,74.75,236.75,ABC012051C6A7E33121E5277DE23E0BE,9A841EA6B09D3DB6A7935D0035A5C52C
MBC/DC,FEMALE,106.75,99,113.75,319.5,EB3B5D0016C4C237D235D77552637513,D0C7D787BF4DDAC361CED7897E4B7DE0
BC,Male,79.5,76.75,51.5,207.75,B08973B866BCE25F2A84B65272D8163A,A1AABCBD3256ADAB681C13DC92377DBC
SC,Female,130.75,96.5,84.75,312,672C0C121CB06BBB4B4562E096FE387F,59F6ADEB94EE685E3EB795EDE10395E8
MBC/DC,Female,130,122.5,84,336.5,6E77815030FBC387E19224BE8356F8F7,5FC7F02D9CCF62DEE8F97C8EF37869E8
MBC/DC,Female,137.5,142.75,122.25,402.5,9A74EA75BEA659E1CA3034642B39306C,D71F0390A18F3C956F1562E23903474B
MBC/DC,Male,140.25,114.75,91.25,346.25,3DC3C97EC7E227F795AF1702B9A2632F,2E4D4506A4D88B1AB919E0C76D7CB5BF
MBC/DC,Female,114.75,97.75,90.75,303.25,77EF9E9B4D3C88DE17C2EDEB91FD0E17,6003014839E98C82835FE015E7355B4F
SC,Male,137,123.75,107.25,368,5E05E83840D83DE47B0AC65126DA134E,10166BEC7E9D4E706828E17472763648
MBC/DC,Male,122,90.25,97.5,309.75,9C5E980585555B7403145EDF7D5E72C7,79BB19C49BFB31B6CD7FB6DD67F9659B
MBC/DC,Male,101.75,101.75,93.25,296.75,53A91659B56D1AD996E0E0C324E5CDD1,408DA01549C5A386BFBC2751092782A2
MBC/DC,Female,123,121.5,107,351.5,39A2B20B9F804F5852CA22BBF3AC67C5,9C84D6C2030CFA8759AA462A296B559F
MBC/DC,Female,106,96.25,85.25,287.5,AD4E7EE7723C787D1B3C7C67789EA3DE,3F88C4EDFE2D8935A0B862F48DF8D1A3
MBC/DC,Female,112.25,82,92.5,286.75,DBD01A9A2131F565E97E4D9AD84FB345,D6356D1AD284892CCD52B7C3CC49833D
BC,Male,124.5,96.25,80.25,301,A2535F1C4C99B5E3F33AFB19CA7B2537,513BF19E4AB4FBD362931BAA14B0DF2B
BC,Female,119.25,101.5,93.75,314.5,9474A647C17384DC1B121122CD805358,FDD09A13B564F939AE46120CBAE1553E
MBC/DC,Male,135.25,88,89.5,312.75,D15F93A110EB7BA2781B3B23B97DB8C9,096CA09948A85EF4422E5E530B54AA11
SC,Female,113.75,78.25,86.5,278.5,E53913762B4F32C583B6EA8EEC408264,883E662036F056E3B63233DD6DC35E9C
MBC/DC,Female,96.75,51.5,70.25,218.5,88B0CF642CD1DA1135DFAB535C28835A,B945BB352EABC8CA7AE7E6253CE2526A
MBC/DC,Male,145.25,107.75,114,367,9BA9762480BDC35D997207CF7A51A89A,2AAD406053219E1DD6F404C52469232A
MBC/DC,Female,145,116.5,106.75,368.25,62303727A51C9409919A5BBBE16DA27D,D3B0C60D27BB1CA158CD7958A1CDBF1C
MBC/DC,Female,150.25,113,120.5,383.75,3C19BE8C5A5202812ED94A3FE25A11BF,4BF1A805AEEBD5A8C851903174432BB6
BC,Male,132.75,97.75,109.75,340.25,A6A0994F58DA0987AF8A71654BB738A3,82660726F73DBD9F274D1361504BB98D
BC,Male,154,115.5,127,396.5,8F2642C72E74CBD43F301260B65E4F74,5F16EADB5B43C68EF4D2F5DBD4E1755B
MBC/DC,Male,92.25,56.75,63.75,212.75,5D4BEFFEBC900A48C522880F40F0E410,3587983BB6BF0E6A9795D25E3B177989
MBC/DC,Female,127.5,116.25,124.75,368.5,32E9A3D82CB89CBCAFD6C914D528C8C1,1BF2B127B3A445486230D2DA7C4D1A5C
MBC/DC,Male,85.25,58.25,47.5,191,368266A11A954BCA4F77674BCFFBD7FD,23BE3E7AFDB164E4EA4FB54E7F413D8B
MBC/DC,Male,86.5,73,49.25,208.75,3C3F51EE3090D0BA23329908FFEEF3CA,1A67194DF4D33869DA05286BA0D3563B
MBC/DC,Female,109.75,97.75,108.75,316.25,8A2E927E95EC9F47E1B6793C3706480D,AC3DA45C60B41964707644AABAF51A9D
MBC/DC,Female,149.25,101.5,113.75,364.5,DFE720BCE1E4417ECE40E0957B3F5992,36F0AD75540890CD45253971D48AB564
BC,Female,111.5,107.25,96,314.75,87B02286FDE5FA536BCA1B838CCA66B1,5C17D7B767ABCF92F90F7C2163F3D8FE
MBC/DC,FEMALE,127.75,100.5,98,326.25,0B4DA1DADC3D641D4CD8BC81A710406A,97C5D38E2F79A73F3FA082D3964A72DA
MBC/DC,Female,104.75,114,107.75,326.5,E6135549E96255908224626D8E418E69,5569C143F83D9EE7E2A6194A61392528
BCM,Male,110,82.75,77.25,270,CFD9E9C1241D8F196D5BE82722D437BB,DA46852014CCDCF2A3878B0077A962ED
MBC/DC,Female,116.5,98.75,137.75,353,99EA430006BCAB20D04B2762B67915F6,BB7F7AC56136563CDF517031F00CC519
MBC/DC,Female,141.75,117,113,371.75,CDD4AF8892427BB6D0E37A3B0F021FD6,93B0A6814AAFE6424AE6BA6579C38101
BC,Female,131.25,101.75,102.5,335.5,FA95A22F75C8B9E3BF27289A20D93247,2278845ADF6831E841473FE38A4A84D9
BC,Female,150,120.25,118,388.25,B9FFF761255A47DF1A8CE582DA0DC0BF,847FEC1B129A9B47641607AE6FC8592D
MBC/DC,Female,116.5,94.25,76.5,287.25,3B4C040AFE416A850F517F0B3EBCC3FC,EB24EDDACCD6C97AA258A41BCB1DDBBE
MBC/DC,Male,84.75,68,75.75,228.5,FACB4DB85FEF2035BBB51AC56755B9F5,151A1A7A5AE3027CC291EBA70D7900EF
SC,Male,111.5,89.75,91.25,292.5,A3358DB32CE0E105F11174F8C06A5F41,0C28C2AE8D99F9BEF24695E09B3BBEF1
MBC/DC,Male,116,115.75,113.75,345.5,D88517EE28B1C6F693FB9BFD2242BA1E,721E1CC2E6ADADD71C635E1B0245F4F6
MBC/DC,Male,122.75,89.25,80,292,FA51B70557C0B072914A422F3B634D1F,9DEC582E778AB3346EFA7D727FFEC3C2
MBC/DC,Male,117.75,109.75,97.5,325,0BF917352913DC348EC914AD315452BE,81395035F549D1479675B0DDEBEDF392
BCM,Male,136.5,115.5,98.75,350.75,FBEFCD26A3652171782E5A64FAD12162,C4D1258D580C39BEEC5F85C3CBE9EFD4
BC,MALE,114.5,118,101,333.5,FCC6648E077D379965C566A6CE3F5674,B86CEB05E82768E74FB8AAA90E9016B7
MBC/DC,Female,143.75,124.5,118.25,386.5,243520D93CB3424ADE10F6D66219003A,6BEC1269904698C035E30E30A431B63C
MBC/DC,Male,118.5,94,87.25,299.75,22C3EE812A00B6B95C4BE67E2240A904,35F3619AC955D1D55509BAA9C4A34C8B
MBC/DC,Female,103.75,96.75,89.25,289.75,712047EBACC2C2AFB8AD68E56352C9C5,48CB895B06B1458C5D0B38458D4D70D0
SC,Female,71.5,85.5,76,233,79BCD6A77C60065A9B9D1525CAB06C7B,2EB3E96BEA1108E1E2361AA2468355A6
MBC/DC,Female,93,84.25,80.75,258,C2FE62BD14941554B55D7BA99DF7E590,41C0C41C5A2EBB8CAAE8F591EF06CD82
MBC/DC,Male,129.5,106.75,95.5,331.75,F004AC98F1545AB89168683B51250C7D,87D88A11F21796BA4D57E6C51E59CD19
MBC/DC,Female,119.75,118.5,117.25,355.5,ACEB5357E48C633F46DCED690A3EB0C3,CBB10BA8E30F4ECFD49ED5800E101480
MBC/DC,MALE,156.75,121,110.25,388,F376F0724F1DEF9C1FF6ED498E533749,C9EF3B7016B7E6F4717E7A748CDCED81
SC,Female,90.75,76.25,79.75,246.75,1D5B6CC10EB94538918474571B949CCF,D9018AC2EF08E518E06F67333EB17976
BC,FEMALE,141.75,111.5,104,357.25,322859166AB77339A2B17363C7EF9AD9,C97194C3777115139516D04EEAD05299
MBC/DC,Male,97,80.75,68.25,246,39906B46003CE0F1A2152E4544850EEB,C2421A56E3A0FD817ACE0259CA03D4B7
MBC/DC,Female,105,90.75,94,289.75,4C54E170E2F75A0835933BC01E5C71AE,B8BDAE533B6CADC94B5656EBB3D6AA34
BC,Female,152,118.25,111.25,381.5,6185C5C7DC99E5884921E3474742AD31,7653854FC92D6F5C8B642A99BA9E733B
BC,Male,109,104.75,109.5,323.25,56EC1EC2584A2522FE09822DE56AA806,B22251AC04578F44C93D5AA4A936E597
SCA,Female,114,89.75,102.75,306.5,80C0281601AC6027528E984FB8888CB4,7F0C7B8A6125688D5A7211CE2CF5C55A
MBC/DC,Female,149.5,111.25,118.5,379.25,0957493C0E812C70DE3E738BDABD84B6,3792D13828C005E4412D12A3FA23AC84
MBC/DC,Female,138.75,95.5,113.75,348,9A7D1EF96CD477B1CB026254CCA8DA7A,7C605EA0A096C6FB2B16D65509499B4D
MBC/DC,Male,98,88.75,80.25,267,9546139BDC60642949DC7FE02841203D,F51C9483ADDFE239716D6898C1EF4CCA
SC,Female,99.75,100.5,91,291.25,12450CA828CC9C55288CDAE9677EEC2A,B90C6D519ABC23B0596DFBAC8022C5B5
MBC/DC,MALE,116.75,75,84.25,276,074390A22766C6E3C401C2D89F2CF3AF,D448BC867A3374305A4F07FC44F96674
BC,Female,157,105,121.5,383.5,9BD843C36223A8AC7969C0C7737BE677,245EC3E38F4A9E7B16C827BFC623BDFC
MBC/DC,Female,145.5,127,113,385.5,3D6606E9D2807032380AF8E4BA133562,3914DBC094EC357DC442201C2A1EEB00
SC,Male,142.5,91.5,96.25,330.25,C98E1FEC276D402CF5594C0544B31BBC,7B80697DA724237868B191BD396A76D4
SC,Male,108.5,79.75,67,255.25,E4BFDEA236ADEE6556E2D9507AFA8DEA,04786181A26E1D550171887FE15C1708
