NAME OF THE POST ,RANK(OVER ALL),MARKS ,GENDER,DATE OF BIRTH,RELIGION,COMMUNAL CATEGORY,DISABILITY,EXSERVICEMEN,DW,PSTM,SSLC YOP,HSC YOP,DIPLOMA YOP,DIPLOMA MAJOR,UG DEG YOP,UG DEG,UG MAJOR,UGL DEGEE,UGL MAJOR,BED/BLISC YOP,PG DEGREE YOP,PG DEGREE,PG MAJOR,MPHIL YOP,MPHIL MAJOR,PHD YOP,PHD MAJOR,TWT,TWE,SHT,SHE,EXPERIENCE,PREFERNTIAL QUALIFICATION ,QUALIFICATION PASSED IN TAMIL,EXAM CENTER,EXAM VENUE DETAILS ,DISTRICT AND STATE OF PERMANENT ADDRESS,DISTRICT AND STATE OF CORRESPONDENCE ADDRESS,COMMUNAL RANK,DISABILITY RANK,EXSERVICEMEN RANK ,DW RANK,SELECTION STATUS ,SELECTION CATEGORY,DEPARTMENT ALLOTTED,REGNO,APPLICATION_NO
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,34,521.25,FEMALE,1991,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2006,2008,NULL,NULL,2012,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI GIRLS HIGHER SECONDARY SCHOOL,2A SCHOOL ROAD M H ROAD,PERAMBUR CHENNAI","Erode,Tamil Nadu","SALEM,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/4,NULL,995A182995AD10AC8AB57A5892F0CB6A,A7F1FD88E1D9D933CF80C8DDC1210DFE
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,35,521.25,MALE,1992,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,NO.1 PEELI AMMAN KOIL STREET,THARAMANI CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 5/15,NULL,4041F69A60ECBECE81B2D1A5292D84C0,2AB5CD357C6B7731320464812071E7E6
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,36,521.25,FEMALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CSI JESSIE MOSES MATRICULATION HR SEC SCHOOL,37-Z183 5TH AVENUE BLUE STAR,ANNANAGAR CHENNAI","Sivagangai,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/2,NULL,D7A862F6909D996B83E5289CD98BE8A7,AEE67E47577BA099DF7FC9C5CC1E0F9E
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,37,520.75,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2016,B.E.,CIVIL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CSI JESSIE MOSES MATRICULATION HR SEC SCHOOL,37-Z183 5TH AVENUE BLUE STAR,ANNANAGAR CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/1,NULL,9857D3B4AE4828AE4A23A63F41143552,18F1B418B7DFB170D28622F5261157D9
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,38,520.75,MALE,1995,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,production engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"WPA SOUNDARAPANDIAN HIGHER SECONDARY SCHOOL,NMK STREET,AYANAVARAM CHENNAI","Dharmapuri,Tamil Nadu","Dharmapuri,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 6/15,NULL,9368C488A310635FCF3B90CB368751D9,798AD221AC352C3B126CA8FC66B149D5
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,39,520.75,FEMALE,1996,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,MASKED FOR PRIVACY PROTECTION,Agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"THE CHINTADRIPET HIGHER. SECONDARY SCHOOL,NO.2-3 DEPUTY MAYOR KABALAMURTHY ROAD,CHINTADRIPET CHENNAI","Pudukkottai,Tamil Nadu","Pudukkottai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/2,NULL,2573F71D53AD3C9D39F963E8AE67AD4B,547B852CF9637C8415D12427C4551DF8
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,40,520.25,MALE,1987,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2003,2005,NULL,NULL,2009,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"JAIGOPAL GARODIA MATRIC HIGHER SECONDARY SCHOOL,7TH STREET SRP COLONY,PERAVALLUR CHENNAI","Salem,Tamil Nadu","Salem,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 2/2,NULL,B0E9C90E3148FD905F14C5CFB4492ADF,5864A6A53DC6F8EAE6D84F981AB2479B
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,41,520.25,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"ST JOHNS MATRIC HIGHER SECONDARY SCHOOL,NO.15 NEW COLONY,ALWARTHIRUNAGAR CHENNAI","Thiruvallur,Tamil Nadu","Thiruvallur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/2,NULL,9CD4E37DB54276B20A6F974F4A51AFCE,91F80E18D6E43429E7B25261230E9368
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,42,520,FEMALE,1986,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2001,2003,NULL,NULL,2006,B.Sc.,chemistry,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,MASKED FOR PRIVACY PROTECTION,M.Sc.,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"KESARI HIGHER SECONDARY SCHOOL,17 THIRU.VI.KA 3RD STREET,MYLAPORE CHENNAI","Thiruvallur,Tamil Nadu","Thiruvallur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_W- 1/1,NULL,62DF0B842B327D751A69696A8AB5D17F,326B259486B0B86BB8CB69EEF1888D0E
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,43,519.75,FEMALE,1997,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.TECH.,Information Technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SRM NIGHTINGALE MATRIC HR SEC SCHOOL,68 THAMBIAH ROAD,WEST MAMBALAM CHENNAI","Sivagangai,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/4,NULL,3B24A6ED3E88D4B68611D71F2E7EF6B2,C6937E1B70981DA08C25C477BD392F35
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,44,519.25,MALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"DONBOSCO MATRICULATION HIGHER SECONDARY SCHOOL,CHURCH ROAD SRINIVASA NAGAR,KOLATHUR CHENNAI","Coimbatore,Tamil Nadu","COIMBATORE,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 3/4,NULL,B97D488B012118E37BF3F735F8DDB847,06CFBC4FBBF34DE353131EEEB9941CDB
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,45,519.25,FEMALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.TECH.,CHEMICAL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVT HIGHER SECONDARY SCHOOL,P BLOCK M M D A COLONY,ARUMBAKKAM CHENNAI","Coimbatore,Tamil Nadu","Coimbatore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 4/4,NULL,A42E3EB29A9447477E1A60FE56F2C2D7,1751F391AA0B23106747DDD98AC040CB
THE POST OF ASSISTANT DIRECTOR OF RURAL DEVELOPMENT IN THE TAMIL NADU PANCHAYAT DEVELOPMENT SERVICE,46,519.25,FEMALE,1996,Christian,MBC/DC,NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SRI.R.K.M.SARADA VIDHYALA MODEL HR SEC SCHOOL,45 BURKIT ROAD,T.NAGAR CHENNAI","Thoothukudi,Tamil Nadu","Thoothukudi,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_W- 1/1,NULL,96E20309E5A55D822A8EE3B24003CF22,F3D7191660AA3B2BD01EBC8974C47A5E
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,47,519,FEMALE,1990,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2005,2007,NULL,NULL,2011,B.TECH.,industrial biotechnology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2013,M.TECH.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Nagapattinam,Tamil Nadu","Nagapattinam,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/2,NULL,38406F3B0C3CF03614B7E1B537BF6BAA,EB4A7F68D4F757D3802A3CEBBF3821DF
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,48,519,FEMALE,1991,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2006,2008,NULL,NULL,2012,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SAVITHRI AMMAL ORIENTAL HR SEC SCHOOL,84 ROYAPETTAH HIGH ROAD,MYLAPORE CHENNAI","Ariyalur,Tamil Nadu","Ariyalur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/1,NULL,DAF67496DB910F691CE125EB42205E95,415FC1039E5CAF1188687F981549C0DA
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,49,519,MALE,1992,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"RAMACHANDRA MATRIC HIGHER SECONDARY SCHOOL,474 KILPAUK GARDEN ROAD,KILPAUK CHENNAI","Pudukkottai,Tamil Nadu","Pudukkottai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 7/15,NULL,1F1ED1D2BC2AA99E4F5CEC48ED6E78DB,4AD3D395543AC183666F8948C1BB1AE2
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,50,518.75,MALE,1995,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.TECH.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,39 APPA SAMY LANE,OLD WASHERMANPET CHENNAI","Villupuram,Tamil Nadu","Villupuram,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 8/15,NULL,63B14967B1D086272A2B61AE36F06F8E,621338060C8FB3AF1E6540D0A51D3706
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,51,518.25,MALE,1990,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2005,2007,NULL,NULL,2011,B.E.,INSTRUMENTATION AND CONTROL Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2015,M.E.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"ST.PETERS HIGHER SECONDARY SCHOOL,18 WEST MADHA CHURCH STREET,ROYAPURAM CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 9/15,NULL,F4F48A811877CD64D252BDA66A6AF648,0C6C98FFCABAC8AC8C0C002B8D515A9D
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,53,518,FEMALE,1995,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2017,B.E.,INSTRUMENTATION AND CONTROL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/2,NULL,F37D50E043452F7D2DE6E08E1C93FC7E,FFBE232E1572DB985025CFF848DE760A
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,54,517.75,MALE,1991,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,ELECTRONICS AND COMMUNICATION ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Salem,Tamil Nadu","Salem,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 10/15,NULL,1F935AA4B9891F8790778E9FE5AC98DF,CF099CDAE0C1FD8E8438274757050902
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,55,517.75,MALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,Mechanical Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"DONBOSCO MATRICULATION HIGHER SECONDARY SCHOOL,CHURCH ROAD SRINIVASA NAGAR,KOLATHUR CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 11/15,NULL,0FC2EEAE52AEBFD7587E5785E8D3E4B8,3DD2E147BF72F95FA6C0C764171300CA
THE POST OF DISTRICT REGISTRAR IN THE TAMIL NADU REGISTRATION SERVICE,56,517,FEMALE,MASKED FOR PRIVACY PROTECTION,Hindu,MBC/DC,NULL,NULL,NULL,NULL,1998,2000,NULL,NULL,MASKED FOR PRIVACY PROTECTION,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,NO.1 PEELI AMMAN KOIL STREET,THARAMANI CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,MBC/DC_W- 1/1,NULL,F88B180DA1A5260724D9B72923630A77,D93165DE9D5018779DD1391E5B02F2F7
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,57,517,FEMALE,1996,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.Sc.,agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Sivagangai,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/2,NULL,7BC3CFFFCA17FE4E23A19979F85FF1DF,644AC9FF672550C6273D4496FDE10477
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,58,516.75,MALE,1993,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,NO.1 PEELI AMMAN KOIL STREET,THARAMANI CHENNAI",MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,SELECTED,MBC/DC_G- 1/2,NULL,9B99EFC0BBA91C96C842E0ACF22F9176,8517219A17DD0634712D4CDFE39846B2
THE POST OF DEPUTY REGISTRAR OF CO-OPERATIVE SOCIETIES IN THE TAMIL NADU CO-OPERATIVE SERVICE,59,516.5,FEMALE,1992,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,Bio Medical Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"N.K.T NATIONAL GIRLS HR SEC SCHOOL,41 DR. BESANT ROAD,TRIPLICANE CHENNAI","Kanniyakumari,Tamil Nadu","Kanniyakumari,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/2,NULL,BBD7E8479F16490FF3FEF2065C051CD9,FA423D658E2A1C5F7030852B5947E978
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,60,516.5,MALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,civil engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,MASKED FOR PRIVACY PROTECTION,M.TECH.,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"WPA SOUNDARAPANDIAN HIGHER SECONDARY SCHOOL,NMK STREET,AYANAVARAM CHENNAI","Tiruchirapalli,Tamil Nadu","Tiruchirapalli,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 12/15,NULL,62DA2A4A24FC588394C02BD8CB357F5C,C153915A204816F3994E11008E009B2D
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,61,516.25,FEMALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2015,B.Sc.,Agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"KESARI HIGHER SECONDARY SCHOOL,17 THIRU.VI.KA 3RD STREET,MYLAPORE CHENNAI","Tiruppur,Tamil Nadu","Tiruppur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 13/15,NULL,98E76047874DD6CC4D0D6896A92EF252,D8E0D3074781350BA5C8554A1618C658
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,62,516.25,MALE,1994,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRICAL AND ELECTRONICS Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SRI RAMAKRISHNA MISSION HR.SEC.SCHOOL (MAIN),NO 1 BHASYAM ROAD,T. NAGAR CHENNAI","Thoothukudi,Tamil Nadu","Thoothukudi,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 14/15,NULL,BD2E2764CBB66D349246C32D706CD44B,B57803B7829DA4CAE1E0B051F3823F3F
THE POST OF DEPUTY SUPERINTENDENT OF POLICE (CATEGORY-I) IN THE TAMIL NADU POLICE SERVICE,63,516,MALE,1992,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2008,2010,NULL,NULL,2014,B.E.,mechanical engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,2018,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"ST.PETERS HIGHER SECONDARY SCHOOL,18 WEST MADHA CHURCH STREET,ROYAPURAM CHENNAI","Krishnagiri,Tamil Nadu","Krishnagiri,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 15/15,NULL,665F54BDF3FD63A79E8C3029A1C75962,E6701EC5A08AEF3083AAB80E8B58F865
THE POST OF ASSISTANT COMMISSIONER (C.T.) IN THE TAMIL NADU COMMERCIAL TAXES SERVICE,64,515.75,FEMALE,1991,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2007,2009,NULL,NULL,2013,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"GOVERNMENT HIGHER SECONDARY SCHOOL,PUDUR,ASHOK NAGAR CHENNAI","Kanniyakumari,Tamil Nadu","Kanniyakumari,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 2/2,NULL,96BE83528638E2F6F0565C7A23D47786,2F582EBD9B648BF69D59D5E555B0DA57
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,65,515.75,FEMALE,1994,Hindu,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,CIVIL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVERWIN MATRIC HIGHER SECONDARY SCHOOL,12-3 S J AVENUE RED HILLS ROAD,KOLATHUR CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SCA_G- 1/1,NULL,5053FA003D5C34BF166A3B7E8C832DA9,D1ACAEEBC3B1F5DDD75EF36EE0E84730
